"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2021","477,48","476,98","478,56","475,92","53,08M","0,13%"
"30.12.2021","476,16","477,93","479,00","475,67","51,51M","-0,28%"
"31.12.2021","474,96","475,64","476,86","474,67","65,24M","-0,25%"
"03.01.2022","477,71","476,30","477,85","473,85","71,51M","0,58%"
"04.01.2022","477,55","479,22","479,98","475,58","68,19M","-0,03%"
"05.01.2022","468,38","477,16","477,98","468,28","100,64M","-1,92%"
"06.01.2022","467,94","467,89","470,82","465,43","85,72M","-0,09%"
"07.01.2022","466,09","467,95","469,20","464,65","85,11M","-0,40%"
"10.01.2022","465,51","462,70","465,74","456,60","116,54M","-0,12%"
"11.01.2022","469,75","465,23","469,85","462,05","73,58M","0,91%"
"12.01.2022","471,02","471,59","473,20","468,94","65,15M","0,27%"
"13.01.2022","464,53","472,19","472,88","463,44","89,39M","-1,38%"
"14.01.2022","464,72","461,19","465,09","459,90","95,89M","0,04%"
"18.01.2022","456,49","459,74","459,96","455,31","108,94M","-1,77%"
"19.01.2022","451,75","458,13","459,61","451,46","107,00M","-1,04%"
"20.01.2022","446,75","453,75","458,74","444,50","118,81M","-1,11%"
"21.01.2022","437,98","445,56","448,06","437,95","202,27M","-1,96%"
"24.01.2022","439,84","432,03","440,38","420,76","250,45M","0,42%"
"25.01.2022","434,47","433,06","439,72","427,15","163,89M","-1,22%"
"26.01.2022","433,38","440,72","444,04","428,86","185,02M","-0,25%"
"27.01.2022","431,24","438,26","441,59","429,45","147,25M","-0,49%"
"28.01.2022","441,95","432,68","442,00","427,82","164,46M","2,48%"
"31.01.2022","449,91","441,24","450,28","439,81","150,62M","1,80%"
"01.02.2022","452,95","450,68","453,63","446,94","119,94M","0,68%"
"02.02.2022","457,35","455,50","458,12","453,05","115,95M","0,97%"
"03.02.2022","446,60","450,95","452,97","445,71","113,49M","-2,35%"
"04.02.2022","448,70","446,35","452,78","443,83","118,45M","0,47%"
"07.02.2022","447,26","449,51","450,99","445,85","83,54M","-0,32%"
"08.02.2022","450,94","446,73","451,92","445,22","81,01M","0,82%"
"09.02.2022","457,54","455,22","457,88","455,01","90,93M","1,46%"
"10.02.2022","449,32","451,34","457,71","447,20","136,50M","-1,80%"
"11.02.2022","440,46","449,41","451,61","438,94","153,21M","-1,97%"
"14.02.2022","439,02","439,92","441,60","435,34","121,25M","-0,33%"
"15.02.2022","446,10","443,73","446,28","443,18","86,16M","1,61%"
"16.02.2022","446,60","443,93","448,05","441,94","84,23M","0,11%"
"17.02.2022","437,06","443,22","446,57","436,42","101,56M","-2,14%"
"18.02.2022","434,23","437,33","438,66","431,82","132,64M","-0,65%"
"22.02.2022","429,57","431,89","435,50","425,86","123,14M","-1,07%"
"23.02.2022","421,95","432,66","433,26","421,35","129,09M","-1,77%"
"24.02.2022","428,30","411,02","428,76","410,64","209,08M","1,50%"
"25.02.2022","437,75","429,61","437,84","427,86","121,80M","2,21%"
"28.02.2022","436,63","432,03","438,20","430,70","143,48M","-0,26%"
"01.03.2022","429,98","435,04","437,17","427,11","136,29M","-1,52%"
"02.03.2022","437,89","432,37","439,72","431,57","116,86M","1,84%"
"03.03.2022","435,71","440,47","441,11","433,80","103,70M","-0,50%"
"04.03.2022","432,17","431,75","433,37","427,88","114,08M","-0,81%"
"07.03.2022","419,43","431,55","432,30","419,36","135,43M","-2,95%"
"08.03.2022","416,25","419,62","427,21","415,12","163,43M","-0,76%"
"09.03.2022","427,41","425,14","429,51","422,82","115,71M","2,68%"
"10.03.2022","425,48","422,52","426,43","420,44","93,27M","-0,45%"
"11.03.2022","420,07","428,12","428,77","419,53","95,64M","-1,27%"
"14.03.2022","417,00","420,89","424,55","415,79","95,73M","-0,73%"
"15.03.2022","426,17","419,77","426,84","418,42","105,39M","2,20%"
"16.03.2022","435,62","429,89","435,68","424,80","143,39M","2,22%"
"17.03.2022","441,07","433,59","441,07","433,19","101,03M","1,25%"
"18.03.2022","444,52","438,00","444,86","437,22","106,35M","0,78%"
"21.03.2022","444,39","444,34","446,46","440,68","88,35M","-0,03%"
"22.03.2022","449,59","445,86","450,58","445,86","73,78M","1,17%"
"23.03.2022","443,80","446,91","448,49","443,71","78,36M","-1,29%"
"24.03.2022","450,49","445,94","450,50","444,76","63,86M","1,51%"
"25.03.2022","452,69","451,16","452,98","448,43","77,10M","0,49%"
"28.03.2022","455,91","452,06","455,91","450,06","67,91M","0,71%"
"29.03.2022","461,55","460,02","462,07","457,18","85,67M","1,24%"
"30.03.2022","458,70","460,34","461,20","456,46","79,01M","-0,62%"
"31.03.2022","451,64","457,89","458,76","451,16","119,66M","-1,54%"
"01.04.2022","452,92","453,31","453,46","449,14","89,05M","0,28%"
"04.04.2022","456,80","453,13","456,91","452,26","57,92M","0,86%"
"05.04.2022","451,03","455,22","457,83","449,82","72,92M","-1,26%"
"06.04.2022","446,52","446,89","448,93","443,47","106,90M","-1,00%"
"07.04.2022","448,77","445,59","450,69","443,53","77,38M","0,50%"
"08.04.2022","447,57","447,97","450,63","445,94","79,27M","-0,27%"
"11.04.2022","439,92","444,11","445,00","439,39","86,88M","-1,71%"
"12.04.2022","438,29","443,08","445,75","436,65","82,67M","-0,37%"
"13.04.2022","443,31","438,03","444,11","437,84","72,17M","1,15%"
"14.04.2022","437,79","443,55","444,73","437,68","97,87M","-1,25%"
"18.04.2022","437,97","436,81","439,75","435,61","63,93M","0,04%"
"19.04.2022","445,04","437,86","445,80","437,68","75,80M","1,61%"
"20.04.2022","444,71","446,92","447,57","443,48","64,43M","-0,07%"
"21.04.2022","438,06","448,54","450,01","437,10","84,62M","-1,50%"
"22.04.2022","426,04","436,91","438,08","425,44","132,47M","-2,74%"
"25.04.2022","428,51","423,67","428,69","418,84","117,37M","0,58%"
"26.04.2022","416,10","425,83","426,04","416,07","101,81M","-2,90%"
"27.04.2022","417,27","417,24","422,92","415,01","117,74M","0,28%"
"28.04.2022","427,81","422,29","429,64","417,60","103,49M","2,53%"
"29.04.2022","412,00","423,59","425,87","411,21","145,49M","-3,70%"
"02.05.2022","414,48","412,07","415,92","405,02","156,91M","0,60%"
"03.05.2022","416,38","415,01","418,93","413,36","100,03M","0,46%"
"04.05.2022","429,06","417,08","429,66","413,71","144,25M","3,05%"
"05.05.2022","413,81","424,55","425,00","409,44","172,93M","-3,55%"
"06.05.2022","411,34","411,10","414,80","405,73","151,77M","-0,60%"
"09.05.2022","398,17","405,10","406,41","396,50","155,59M","-3,20%"
"10.05.2022","399,09","404,49","406,08","394,82","131,57M","0,23%"
"11.05.2022","392,75","398,07","404,04","391,96","137,59M","-1,59%"
"12.05.2022","392,34","389,37","395,80","385,15","123,67M","-0,10%"
"13.05.2022","401,72","396,71","403,18","395,61","102,61M","2,39%"
"16.05.2022","400,09","399,98","403,97","397,60","78,08M","-0,41%"
"17.05.2022","408,32","406,53","408,57","402,58","81,64M","2,06%"
"18.05.2022","391,86","403,50","403,80","390,55","116,78M","-4,03%"
"19.05.2022","389,46","388,62","394,14","387,11","98,51M","-0,61%"
"20.05.2022","389,63","393,25","397,03","380,54","131,43M","0,04%"
"23.05.2022","396,92","392,83","397,73","390,38","74,74M","1,87%"
"24.05.2022","393,89","392,56","395,15","386,96","90,87M","-0,76%"
"25.05.2022","397,37","392,31","399,45","391,89","88,82M","0,88%"
"26.05.2022","405,31","398,67","407,04","398,45","82,17M","2,00%"
"27.05.2022","415,26","407,91","415,38","407,70","84,77M","2,45%"
"31.05.2022","412,93","413,55","416,46","410,03","95,94M","-0,56%"
"01.06.2022","409,59","415,17","416,24","406,93","85,92M","-0,81%"
"02.06.2022","417,39","409,42","417,44","407,04","78,54M","1,90%"
"03.06.2022","410,54","412,40","414,04","409,51","71,87M","-1,64%"
"06.06.2022","411,79","414,78","416,61","410,55","57,51M","0,30%"
"07.06.2022","415,74","408,10","416,22","407,61","58,04M","0,96%"
"08.06.2022","411,22","413,93","415,82","410,38","64,35M","-1,09%"
"09.06.2022","401,44","409,34","411,74","401,44","84,58M","-2,38%"
"10.06.2022","389,80","394,88","395,78","389,75","132,89M","-2,90%"
"13.06.2022","375,00","379,85","381,81","373,30","158,54M","-3,80%"
"14.06.2022","373,87","376,85","377,94","370,59","102,30M","-0,30%"
"15.06.2022","379,20","377,36","383,90","372,12","124,01M","1,43%"
"16.06.2022","366,65","370,51","370,94","364,08","133,25M","-3,31%"
"17.06.2022","365,86","365,51","369,38","362,17","111,11M","-0,22%"
"21.06.2022","375,07","371,89","376,52","371,81","75,50M","2,52%"
"22.06.2022","374,39","370,62","378,72","370,18","86,96M","-0,18%"
"23.06.2022","378,06","376,64","378,83","372,89","76,95M","0,98%"
"24.06.2022","390,08","381,40","390,09","381,36","98,05M","3,18%"
"27.06.2022","388,59","391,05","391,36","387,44","64,66M","-0,38%"
"28.06.2022","380,65","390,23","393,16","380,53","85,83M","-2,04%"
"29.06.2022","380,34","381,23","382,27","378,42","65,27M","-0,08%"
"30.06.2022","377,25","376,24","380,66","372,56","111,70M","-0,81%"
"01.07.2022","381,24","376,56","381,70","373,80","74,84M","1,06%"
"05.07.2022","381,96","375,88","381,98","372,90","79,76M","0,19%"
"06.07.2022","383,25","382,11","385,87","379,60","68,70M","0,34%"
"07.07.2022","388,99","385,12","389,83","383,27","63,86M","1,50%"
"08.07.2022","388,67","387,27","390,64","385,66","72,40M","-0,08%"
"11.07.2022","384,23","385,85","386,87","383,50","57,90M","-1,14%"
"12.07.2022","380,83","383,65","386,16","378,99","61,51M","-0,88%"
"13.07.2022","378,83","375,10","381,92","374,66","82,76M","-0,53%"
"14.07.2022","377,91","373,61","379,05","371,04","86,78M","-0,24%"
"15.07.2022","385,13","382,55","385,25","380,54","79,06M","1,91%"
"18.07.2022","381,95","388,38","389,09","380,66","62,67M","-0,83%"
"19.07.2022","392,27","386,08","392,87","385,39","78,10M","2,70%"
"20.07.2022","394,77","392,47","396,26","391,03","71,22M","0,64%"
"21.07.2022","398,79","394,16","398,84","391,63","64,21M","1,02%"
"22.07.2022","395,09","398,92","400,18","392,75","72,20M","-0,93%"
"25.07.2022","395,57","395,75","396,47","393,21","51,13M","0,12%"
"26.07.2022","390,89","393,84","394,06","389,95","51,87M","-1,18%"
"27.07.2022","401,04","394,36","402,88","394,05","81,86M","2,60%"
"28.07.2022","406,07","401,89","406,80","398,15","72,88M","1,25%"
"29.07.2022","411,99","407,58","413,03","406,77","87,00M","1,46%"
"01.08.2022","410,77","409,15","413,41","408,40","70,00M","-0,30%"
"02.08.2022","408,06","409,12","413,00","406,82","63,44M","-0,66%"
"03.08.2022","414,45","410,30","415,68","410,00","67,34M","1,57%"
"04.08.2022","414,17","414,37","415,09","412,44","45,33M","-0,07%"
"05.08.2022","413,47","409,66","414,15","409,60","56,81M","-0,17%"
"08.08.2022","412,99","415,25","417,62","411,83","54,03M","-0,12%"
"09.08.2022","411,35","412,22","412,75","410,22","44,93M","-0,40%"
"10.08.2022","419,99","418,78","420,14","416,72","68,67M","2,10%"
"11.08.2022","419,99","422,99","424,95","419,21","58,76M","0,00%"
"12.08.2022","427,10","422,13","427,18","421,07","61,69M","1,69%"
"15.08.2022","428,86","424,77","429,41","424,71","53,62M","0,41%"
"16.08.2022","429,70","427,73","431,73","426,88","59,29M","0,20%"
"17.08.2022","426,65","425,91","429,50","424,54","63,56M","-0,71%"
"18.08.2022","427,89","426,86","428,61","425,50","48,64M","0,29%"
"19.08.2022","422,14","424,98","425,26","421,22","68,02M","-1,34%"
"22.08.2022","413,35","417,05","417,23","412,40","74,50M","-2,08%"
"23.08.2022","412,35","412,90","415,42","411,77","49,11M","-0,24%"
"24.08.2022","413,67","412,11","415,11","411,39","48,47M","0,32%"
"25.08.2022","419,51","415,24","419,56","414,09","50,43M","1,41%"
"26.08.2022","405,31","419,39","419,96","405,25","103,09M","-3,38%"
"29.08.2022","402,63","402,20","405,84","401,20","64,70M","-0,66%"
"30.08.2022","398,21","403,85","404,10","396,00","84,91M","-1,10%"
"31.08.2022","395,18","399,93","401,24","395,04","74,87M","-0,76%"
"01.09.2022","396,42","392,89","396,78","390,04","78,74M","0,31%"
"02.09.2022","392,24","400,28","401,55","390,33","99,63M","-1,05%"
"06.09.2022","390,76","393,13","394,12","388,42","75,85M","-0,38%"
"07.09.2022","397,78","390,43","398,59","390,20","69,65M","1,80%"
"08.09.2022","400,38","395,39","400,86","394,12","79,26M","0,65%"
"09.09.2022","406,60","402,85","407,48","402,50","76,71M","1,55%"
"12.09.2022","410,97","408,78","411,73","408,46","68,65M","1,07%"
"13.09.2022","393,10","401,83","403,10","391,92","119,58M","-4,35%"
"14.09.2022","394,60","394,47","396,20","391,12","82,37M","0,38%"
"15.09.2022","390,12","392,96","395,96","388,78","84,85M","-1,14%"
"16.09.2022","385,56","384,14","386,25","382,11","103,08M","-1,17%"
"19.09.2022","388,55","382,26","388,55","382,18","71,74M","0,78%"
"20.09.2022","384,09","385,06","386,12","381,20","76,46M","-1,15%"
"21.09.2022","377,39","386,11","389,31","377,38","105,10M","-1,74%"
"22.09.2022","374,22","376,58","378,30","373,44","89,47M","-0,84%"
"23.09.2022","367,95","370,58","370,62","363,29","122,35M","-1,68%"
"26.09.2022","364,31","366,41","370,21","363,03","92,58M","-0,99%"
"27.09.2022","363,38","368,02","370,40","360,87","107,20M","-0,26%"
"28.09.2022","370,53","364,38","372,30","362,60","109,60M","1,97%"
"29.09.2022","362,79","366,81","367,11","359,70","112,95M","-2,09%"
"30.09.2022","357,18","361,84","365,85","357,18","153,71M","-1,55%"
"03.10.2022","366,61","361,08","368,55","359,21","89,76M","2,64%"
"04.10.2022","377,97","372,40","378,00","366,57","101,34M","3,10%"
"05.10.2022","377,09","373,39","379,46","370,95","88,07M","-0,23%"
"06.10.2022","373,20","375,62","378,72","372,68","81,39M","-1,03%"
"07.10.2022","362,79","369,00","369,27","361,00","107,79M","-2,79%"
"10.10.2022","360,02","363,96","364,21","357,67","75,08M","-0,76%"
"11.10.2022","357,74","358,23","363,03","355,71","91,60M","-0,63%"
"12.10.2022","356,56","358,17","359,82","356,30","76,99M","-0,33%"
"13.10.2022","365,97","349,20","367,51","348,11","146,52M","2,64%"
"14.10.2022","357,63","368,55","370,26","356,96","123,74M","-2,28%"
"17.10.2022","366,82","364,01","367,98","357,28","93,17M","2,57%"
"18.10.2022","371,13","375,13","375,45","367,52","96,07M","1,17%"
"19.10.2022","368,50","368,99","371,85","365,55","79,75M","-0,71%"
"20.10.2022","365,41","368,03","372,67","364,61","88,28M","-0,84%"
"21.10.2022","374,29","364,88","374,79","363,58","131,04M","2,43%"
"24.10.2022","378,87","375,89","380,06","373,11","81,99M","1,22%"
"25.10.2022","384,92","378,79","385,25","378,67","77,46M","1,60%"
"26.10.2022","382,02","381,62","387,58","381,35","104,09M","-0,75%"
"27.10.2022","379,98","383,07","385,00","379,33","79,26M","-0,53%"
"28.10.2022","389,02","379,87","389,52","379,68","100,30M","2,38%"
"31.10.2022","386,21","386,44","388,40","385,26","95,68M","-0,72%"
"01.11.2022","384,52","390,14","390,39","383,29","85,41M","-0,44%"
"02.11.2022","374,87","383,90","388,63","374,76","124,32M","-2,51%"
"03.11.2022","371,01","371,46","374,20","368,79","85,33M","-1,03%"
"04.11.2022","376,35","377,00","378,87","370,00","103,51M","1,44%"
"07.11.2022","379,95","377,71","380,57","375,53","67,48M","0,96%"
"08.11.2022","382,00","381,11","385,12","377,72","83,30M","0,54%"
"09.11.2022","374,13","379,93","381,14","373,61","78,04M","-2,06%"
"10.11.2022","394,69","388,05","395,04","385,64","141,46M","5,50%"
"11.11.2022","398,51","395,69","399,32","393,63","93,84M","0,97%"
"14.11.2022","395,12","396,66","400,18","394,83","71,02M","-0,85%"
"15.11.2022","398,49","401,15","402,31","394,49","92,36M","0,85%"
"16.11.2022","395,45","396,78","397,78","394,79","67,38M","-0,76%"
"17.11.2022","394,24","390,46","394,95","390,14","74,50M","-0,31%"
"18.11.2022","396,03","397,74","397,81","393,04","92,92M","0,45%"
"21.11.2022","394,59","394,64","395,82","392,66","51,24M","-0,36%"
"22.11.2022","399,90","396,63","400,07","395,15","60,43M","1,35%"
"23.11.2022","402,42","399,55","402,93","399,31","68,26M","0,63%"
"25.11.2022","402,33","401,83","402,91","401,54","30,55M","-0,02%"
"28.11.2022","395,91","399,09","400,81","395,11","67,75M","-1,60%"
"29.11.2022","395,23","396,05","397,30","393,30","51,89M","-0,17%"
"30.11.2022","407,68","395,49","407,68","393,48","140,72M","3,15%"
"01.12.2022","407,38","408,77","410,00","404,75","75,79M","-0,07%"
"02.12.2022","406,91","402,25","407,86","402,14","85,34M","-0,12%"
"05.12.2022","399,59","403,95","404,93","398,17","75,86M","-1,80%"
"06.12.2022","393,83","399,42","399,99","391,64","76,65M","-1,44%"
"07.12.2022","393,16","392,94","395,64","391,97","63,61M","-0,17%"
"08.12.2022","396,24","395,14","397,36","393,27","60,29M","0,78%"
"09.12.2022","393,28","394,94","397,62","393,15","81,45M","-0,75%"
"12.12.2022","398,95","394,11","398,95","393,41","74,77M","1,44%"
"13.12.2022","401,97","410,22","410,49","399,07","122,85M","0,76%"
"14.12.2022","399,40","401,61","405,50","396,31","107,49M","-0,64%"
"15.12.2022","389,63","394,30","395,25","387,89","116,11M","-2,45%"
"16.12.2022","383,27","385,18","386,58","381,04","119,86M","-1,63%"
"19.12.2022","380,02","383,47","383,82","378,28","78,79M","-0,85%"
"20.12.2022","380,54","379,23","382,23","377,85","73,47M","0,14%"
"21.12.2022","386,23","383,25","387,41","382,69","75,72M","1,50%"
"22.12.2022","380,72","383,05","386,21","374,77","99,28M","-1,43%"
"23.12.2022","382,91","379,65","383,06","378,03","59,86M","0,58%"
"27.12.2022","381,40","382,79","383,15","379,65","51,41M","-0,39%"
"28.12.2022","376,66","381,33","383,39","376,42","69,91M","-1,24%"
"29.12.2022","383,44","379,63","384,35","379,08","66,61M","1,80%"
"30.12.2022","382,43","380,64","382,58","378,43","84,02M","-0,26%"